case_id,week,popwght,state,dma,nielsen,countyc,metro,region,division,ownhome,mstatus,emply,hhcomp,adults,adultm,adultf,kids1217,kids611,kids06,di22a1,di22a2,di22a3,di22a4,di22a5,di22b1,di22b2,di22b3,di22b4,di22b5,di22c1,di22c2,di22c3,di22c4,di22c5,parent,age,age2,educ,income,race,affilrot,polaffil,d3rot,d3_a,regvote,othtel,sex,reli1,ident,l1,l2a,c1,c2,c1a,qnco1,qnco3,healask,heal1,heal2,heal3,heal4,heal5,heal6,heal7,heal8,heal9_1,heal9_2,heal9_3,heal9_4,heal9min,heal9hr,heal10_1,heal10_2,heal10_3,heal10_4,heal10min,heal10hr,heal11,heal12,heal13,heal14,heal15,heal16,heal17,heal18,heal19,heal20,heal21,ha22v1,heal22,heal23,heal24,heal25,heal26,ha27rot,heal27a,heal27b,heal27c,heal27d,heal27e,heal27f,heal27g,heal28,heal29,heal30,heal31,ha32rot,heal32a,heal32b,heal32c,heal32d,heal33a,heal33b,heal33c,heal33d,heal33e,heal33f,heal33g,heal34,heal35,heal36,ha37rot,heal37a,heal37b,heal37c,heal37d,heal37e,heal37f,heal37g,heal38,heal39,heal40,heal41,heal42,heal43,heal44,heal45,heal46,heal47,heal48,heal49,heal50_01,heal50_02,heal50_03,heal50_04,heal50_05,heal50_06,heal50_07,heal50_08,heal50_09,heal50_10,heal50_11,heal50_12,heal50_13,heal50_14,heal50_15,heal50_16,heal50_17,heal51,heal52,heal53,ha54rot,heal54,ha55rot,ha55rot2,heal55a,heal55b,heal55c,heal55d,heal55e,heal55f,heal55g,heal55h,heal56,heal57,heal58,bmi
10000087,607,0.2548, , ,A, ,2,1, ,2,3,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,70, ,2,2,2,3,2,1,4,1,0,2,1,1,1,3, , ,1, , ,2,4,14,7,3,1,3, ,4,1,0,0,0,15, ,0,1,0,0, ,1,1,3,2,3,1,1,1,1,1,1,1,4,1,1,1, ,2,BACFDEG,1,2,1,1,1,1,1,1,2,1,2,ADCB,2,2,2,2,2,1,1,1,1,2,1, , ,1,BAFCDGE,2,2,2,2,2,2,2,4,2,1,1, ,2,2,3,3,3,2, ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2, ,8,1,3,1,EGBDHCAF,2,2,2,2,3,2,3,1,3,2,1,31.9
10000090,607,0.2534, , ,C, ,2,3, ,1,3,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,71, ,1,4,2,4,2,2,5,1,0,2,22,1,1,3, , ,1, , ,2,3,0,5,3,2,3, ,3,1,0,0,0,30, ,1,0,0,0,35, ,1,5,2,2,1,1,1,2,1,1,1,4,1,2,1, ,1,DGEFCAB,1,1,1,2,2,2,2,1,1,1,1,BDAC,2,2,1,2,2,1,1,1,2,2,2, , ,1,BGAEFCD,1,1,2,1,2,2,2,2,2,1,1, ,2,2,3,2,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,4,2,8,2,DEHFCBGA,2,2,3,2,3,1,1,2,3,2,1,31.5
10000095,809,0.6397, , ,B, ,2,4, ,2,6,2,2,2,0,2, , , , , , , , , , , , , , , , , , ,2,45, ,1,2,3,4,3,2,2,2,0,2,6,3,1,1, , ,1,3,30,3,3,10,30,3,2,3, ,3,0,1,0,0, ,1,1,0,0,0,20, ,1,3,2,2,1,1,2,2,1,1,1,2,1,1,2, ,2,DECBGAF,2,1,2,1,2,2,1,1,1,2, ,DBAC,2,1,2,2,2,2,2,2,2,2,2,1, , ,AGFBCDE,2,2,1,1,1,1,1,1,2,1,1, ,3,2,3,2,2,2, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,BHDFEGCA,1,2,1,1,1,1,2,1,3,2,2,30
10000099,607,0.5128, , ,A, ,3,4, ,2,1,2,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,21, ,2,4,3,2,3,1,2,2,0,1,6,3,1,3, , ,1,1, ,3,2,7,14,1,2,3, ,7,0,1,0,0, ,1,1,0,0,0,10, ,2,1,2,2,1,2,2,1,1, ,1,1,1,2,1,1,2,CAFGEDB,2,2,2,2,2,2,2,1,2,2, ,ADCB,2,2,2,2,1,1,2,1,2,2,2, , ,1,EDABCGF,2,2,2,2,1,2,2,2,2,2,1, ,4,1,3,3,4,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2, ,2,1,3,1,HCADFEBG,2,2,2,2,2,2,2,2,2,1, ,24.2
10000107,607,0.101, , ,B, ,1,1, ,2,5,3,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,81, ,2,2,2,4,2,1,3,1,0,2,27,1,1,3, , ,1, , ,2,2,12,10,2,2,3, ,6,1,0,0,0,5, ,0,1,0,0, ,2,1,2,2,4,1,1,1,2,1,1,1,4,1,2,2, ,1,ECBAFDG,2,2,2,2,2,1,2,1,1,1,1,CDBA,2,2,2,2,1,2,1,2,2,2,2, , ,1,BEDCGAF,2,2,2,2,2,2,2,4,2,1,1, ,2,4,4,4,4,2, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,2,1,3,1,AGCEDFBH,1,2,1,1,1,2,3,1,2,1, ,23.3
10000134,607,0.2406, , ,B, ,1,3, ,1,6,7,5,4,0,4,0,1,0, , , , , ,10, , , , , , , , , ,1,46, ,4,6,2,3,3,2,3,1,1,2,14,1,1,1, , ,1, , ,2,3,0,0,3,2,3, ,5,1,0,0,0,30, ,0,1,0,0, ,2,1,4,1,4,1,1,1,2,1,1,1,2,1,1,2, ,1,CGEADBF,1,2,1,2,1,2,2,1,2,1,2,ACDB,2,2,2,2,2,1,2,2,2,2,2, , ,3,CDFEBGA,1,2,2,1,2,1,2,4,2,1,1, ,3,3,4,2,2,1,2, , , , , , , , , , , , , , , , , , , ,1,1,1,2,DCEBFAGH,1,1,1,1,2,1,2,1,1,2,1,35.4
10000135,809,0.2024, , ,A, ,1,1, ,1,1,5,2,2,0,2, , , , , , , , , , , , , , , , , , ,2,18, ,1,10,3,3,1,2,2,2,2,2,2,1,1,1, , ,5,2,17,3,3,0,3,3,2,3, ,7,0,1,0,0, ,2,1,0,0,0,20, ,2,5,2,1,2,1,1,1,1, ,1,1,1,1,1,2,2,GFEBACD,2,2,1,1,2,2,1,1,96,1,2,DCBA,2,2,2,2,1,1,2,2,2,2,2, , ,1,EAGCDBF,2,2,2,2,2,2,1,3,2,2,1, ,3,2,3,2,3,1,2, , , , , , , , , , , , , , , , , , , ,4,1,3,2,BEFADHGC,2,1,2,2,2,2,2,2,1,1, ,26.6
10000149,809,0.5133, , ,C, ,2,4, ,2,3,4,4,2,1,1,0,1,1, , , , , ,6, , , , ,4, , , , ,1,27, ,1,3,3,3,3,1,1,2,0,2,2,3,1,1, , ,1,3,7,3,3,0,0,3,2,3, ,0,0,0,0,0, , ,1,0,0,0,15, ,2,1,2,2,2,2,3,1,2, ,2,1,2,2,2, ,2,CDGBEFA,2,2,2,2,2,2,2,2, ,2, ,DBAC,2,2,2,2,2,2,2,2,2,2,2,1, , ,GCBEFAD,2,2,2,2,2,2,2,1,2,2,2,1,3,4,4,1,4,2, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2, ,4,1,3,1,BDGEHCAF,2,1,8,2,8,2,2,2,3,1, ,99.9
10000160,607,0.2041, , ,D, ,5,3, ,1,1,1,2,2,0,2, , , , , , , , , , , , , , , , , , ,2,52, ,2,4,2,4,2,2,3,1,0,2,1,1,2, , , , , , ,2,4,2,0,3,1,3, ,0,0,0,0,0, , ,0,1,0,0, ,4,1,2,1,4,1,1,1,1,1,1,1,2,1,2,2, ,2,CAFDEGB,1,2,2,2,2,2,1,1,2,1,2,DACB,2,2,2,2,1,2,2,2,2,2,2, , ,1,FAECGBD,2,2,2,2,2,2,2,3,2,2,1, ,2,2,4,4,4,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,2,1,3,1,FHGBEDCA,2,2,2,2,2,2,2,2,3,2,1,45.4
10000172,607,0.3533, , ,B, ,1,3, ,1,3,7,3,3,2,1, , , , , , , , , , , , , , , , , , ,2,43, ,3,12,2,4,2,2,4,1,1,2,1,1,1,1, , ,1, , ,2,5,30,30,3,1,1,1,0,0,0,0,0, , ,1,0,0,0,5, ,1,2,1,2,1,1,1,2,1, ,1,2,1,1,1, ,1,ABEDCGF,1,1,2,1,2,2,1,1,2,1,2,CBAD,2,2,2,2,1,1,2,2,1,2,1, , ,1,BAEGDCF,2,2,2,2,2,2,2,2,2,1,1, ,1,2,4,1,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,1,3,2,ABHGCEFD,3,2,1,3,3,3,3,2,2,2,1,99.9
