case_id,week,popwght,state,dma,nielsen,countyc,metro,region,division,ownhome,mstatus,emply,hhcomp,adults,adultm,adultf,kids1217,kids611,kids06,di22a1,di22a2,di22a3,di22a4,di22a5,di22b1,di22b2,di22b3,di22b4,di22b5,di22c1,di22c2,di22c3,di22c4,di22c5,parent,age,age2,educ,income,race,affilrot,polaffil,d3rot,d3_a,regvote,othtel,sex,reli1,ident,l1,l2a,c1,c2,c1a,qnco1,qnco3,healask,heal1,heal2,heal3,heal4,heal5,heal6,heal7,heal8,heal9_1,heal9_2,heal9_3,heal9_4,heal9min,heal9hr,heal10_1,heal10_2,heal10_3,heal10_4,heal10min,heal10hr,heal11,heal12,heal13,heal14,heal15,heal16,heal17,heal18,heal19,heal20,heal21,ha22v1,heal22,heal23,heal24,heal25,heal26,ha27rot,heal27a,heal27b,heal27c,heal27d,heal27e,heal27f,heal27g,heal28,heal29,heal30,heal31,ha32rot,heal32a,heal32b,heal32c,heal32d,heal33a,heal33b,heal33c,heal33d,heal33e,heal33f,heal33g,heal34,heal35,heal36,ha37rot,heal37a,heal37b,heal37c,heal37d,heal37e,heal37f,heal37g,heal38,heal39,heal40,heal41,heal42,heal43,heal44,heal45,heal46,heal47,heal48,heal49,heal50_01,heal50_02,heal50_03,heal50_04,heal50_05,heal50_06,heal50_07,heal50_08,heal50_09,heal50_10,heal50_11,heal50_12,heal50_13,heal50_14,heal50_15,heal50_16,heal50_17,heal51,heal52,heal53,ha54rot,heal54,ha55rot,ha55rot2,heal55a,heal55b,heal55c,heal55d,heal55e,heal55f,heal55g,heal55h,heal56,heal57,heal58,bmi
50000187,807,0.6706, , ,A, ,2,2, ,1,9,6,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,99,4,3,12,1,4,3,1,2,1,0,2,15,1,1,2, , ,1, , ,1,2,2,0,3,2,3, ,5,1,0,0,0,1, ,0,0,1,0, , ,1,3,2,4,1,1,1,1,1,2,1,4,1,2,1, ,1,FCGBDEA,1,1,1,1,2,1,1,1,2,1,1,BDAC,2,2,2,2,1,2,1,2,2,2,2, , ,1,CADFBEG,2,2,2,2,2,2,2,4,2,1,1, ,5,3,1,3,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,4,1,3,2,DAGFBHCE,3,3,3,3,3,3,3,3,3,2,9,99.9
50000188,808,0.3958, , ,A, ,3,2, ,1,5,3,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,80, ,1,2,2,3,8,1,5,1,0,2,1,1,1,3, , ,1, , ,2,5,5,3,2,2,3, ,0,0,0,0,0, , ,1,0,0,0,5, ,2,1,2,2,2,1,1,2,1,2,1,4,1,2,1, ,2,GAEDCFB,1,2,2,1,1,2,1,1,3,1,2,CABD,2,2,1,2,1,1,1,1,2,2,2, , ,3,BCEDAFG,1,1,1,1,1,1,2,4,2,1,1, ,1,4,8,4,3,2, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2, ,3,1,3,1,GDECFAHB,1,2,2,1,2,2,2,1,2,1, ,25.2
50000189,807,1.8548, , ,B, ,1,1, ,1,2,1,3,3,2,1, , , , , , , , , , , , , , , , , , ,2,68, ,2,99,1,4,2,2,3,1,1,2,15,1,1,2, , ,1, , ,1,4,3,3,3,2,3, ,0,0,0,0,0, , ,1,0,0,0,45, ,2,2,2,4,1,1,1,1,1,1,1,4,1,1,1, ,2,CEBDFGA,1,1,2,1,2,2,1,1,2,1,2,BDAC,2,1,2,2,2,1,1,2,2,2,2, , ,1,AFECDBG,2,2,2,2,2,2,2,2,2,2,1, ,2,3,3,2,2,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,2,3,1,ECDGHFBA,2,2,2,2,2,2,2,2,3,1, ,99.9
50000190,807,2.9811, , ,C, ,1,3, ,1,3,6,4,3,2,1,1,0,0,17, , , , , , , , , , , , , , ,1,52, ,4,5,1,4,2,2,3,1,0,2,22,1,1,2, , ,1, , ,1,1,1,0,3,2,3, ,1,0,1,0,0, ,2,0,1,0,0, ,1,2,2,1,3,2,2,3,2,8,1,1,2,1,8,2, ,2,AFEGDCB,2,2,2,2,2,2,2,1,96,2, ,ADBC,2,2,2,2,1,8,2,2,2,2,1, , ,1,ECABDFG,2,2,2,1,1,2,2,4,2,1,1, ,2,3,8,1,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,2,3,1,HBGFDECA,2,2,2,2,2,2,2,2,3,2,3,27.4
50000191,807,1.8689, , ,B, ,5,3, ,1,3,1,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,63, ,3,4,1,4,1,1,3,1,0,2,15,1,1,3, , ,1, , ,1,3,3,0,3,2,3, ,4,1,0,0,0,30, ,1,0,0,0,5, ,2,3,1,2,2,2,2,2,1,2,1,3,2,2,2, ,2,DFCGBEA,2,2,1,2,2,1,2,1,2,2, ,DCBA,2,2,2,2,2,1,2,2,2,2,2, , ,2,BDEACGF,2,2,2,2,2,2,2,3,2,1,1, ,3,2,8,2,2,1,2, , , , , , , , , , , , , , , , , , , ,4,2,3,1,FAGDBHEC,2,3,2,2,2,2,2,2,3,2,1,24
50000193,808,0.2118, , ,A, ,3,2, ,2,3,4,3,3,1,2, , , , , , , , , , , , , , , , , , ,2,59, ,1,3,2,3,2,1,5,1,2,2,23,1,1,3, , ,3, , ,2,5,5,4,3,2,3, ,1,0,1,0,0, ,1,1,0,0,0,10, ,2,1,2,1,1,1,1,1,1,1,1,3,2,1,2, ,1,DFBECAG,1,2,2,1,2,1,2,1,2,1,2,CADB,2,2,2,2,2,2,1,1,2,2,2, , ,2,EGDBFCA,2,2,2,2,2,2,2,1,2,1,1, ,1,1,3,2,3,1,2, , , , , , , , , , , , , , , , , , , ,2,2,1,1,ADGEFCHB,1,2,2,2,2,2,2,2,3,2,1,50.1
50000195,807,0.1126, , ,D, ,5,2, ,2,1,7,1,1,1,0, , , , , , , , , , , , , , , , , , ,2,36, ,6,1,3,1,2,1,2,1,0,1,90,1,2, , , , ,1, ,3,5,3,30,2,1,1,2,0,0,0,0,0, , ,1,0,0,0,40, ,2,1,1,1,1,2,1,2,1, ,1,1,2,1,2, ,2,FGEADBC,1,1,2,1,2,1,2,1,3,1,2,ADCB,2,2,2,1,2,1,1,1,1,2,1, , ,3,ACFBDGE,2,2,2,2,2,2,2,2,2,2,1, ,2,2,3,2,4,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,5,1,1,2,AFEHGDBC,2,2,2,2,2,2,2,2,3,1, ,10.3
50000196,807,0.6706, , ,B, ,2,3, ,1,5,3,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,99,4,4,3,1,3,3,1,3,1,0,2,22,1,1,3, , ,1, , ,1,4,30,30,2,2,3, ,3,1,0,0,0,2, ,0,0,1,0, , ,2,3,1,1,1,2,1,1,1,1,1,4,1,1,1, ,1,GBCFEDA,1,1,1,1,2,1,1,1,2,1,2,DACB,2,1,2,2,1,2,1,2,2,2,2, , ,1,GEABFDC,2,2,2,2,2,2,2,3,2,1,1, ,3,2,2,2,2,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,5,2,1,2,CFBHAEDG,2,2,2,2,2,2,3,2,8,1, ,35.3
50000196,808,0.2025, , ,B, ,1,3, ,1,5,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,89, ,1,1,2,3,2,1,1,1,0,2,1,1,2, , , , , , ,2,4,0,0,1,2,3, ,3,1,0,0,0,15, ,0,0,1,0, , ,1,1,1,1,1,2,1,2,1,1,1,4,1,2,1, ,1,GDCFBEA,1,2,2,2,2,2,2,1,2,2, ,CDAB,2,2,2,2,2,2,1,2,2,2,2, , ,1,DABCFGE,2,2,2,2,2,2,2,4,2,1,1, ,2,2,4,1,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,4,1,3,1,DBCHAGEF,1,1,1,1,3,3,1,1,3,1, ,24.9
50000200,807,0.7315, , ,A, ,3,3, ,1,4,1,4,2,1,1,1,0,1,16, , , , , , , , , ,2, , , , ,1,42, ,2,3,2,3,2,1,1,1,0,2,13,1,1,3, , ,1, , ,2,2,0,10,3,2,3, ,3,0,1,0,0, ,3,1,0,0,0,30, ,2,3,1,4,1,2,1,1,1, ,1,2,1,1,2, ,2,FCGADBE,2,2,2,2,2,2,2,2, ,1,1,ACBD,2,2,1,1,2,2,2,1,2,2,2, , ,1,CDBAGFE,2,2,2,1,2,2,2,3,2,1,1, ,2,2,4,2,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,2,2,8,2,AFBGCEHD,1,2,2,2,1,3,2,2,2,8,1,36.6
50000200,808,0.7688, , ,B, ,1,4, ,2,3,2,4,4,2,2, , , , , , , , , , , , , , , , , , ,2,49, ,5,2,3,2,3,2,3,2,0,1,22,3,1,1, , ,1,3,3,3,3,4,3,1,1,3, ,2,0,1,0,0, ,4,1,0,0,0,30, ,2,2,1,1,1,2,3,2,2,2,1,2,1,1,2, ,2,ECBFGAD,2,2,2,2,2,2,2,2, ,2, ,DABC,2,2,2,2,2,2,2,2,2,2,2,1, , ,FCDGBEA,2,2,2,2,2,1,2,1,2,1,1, ,3,4,3,2,2,2, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2, ,2,1,3,1,ECHABDGF,1,2,2,2,1,2,2,1,1,2,2,23.4
50000202,807,2.7156, , ,D, ,5,2, ,1,3,2,4,2,1,1,0,0,2, , , , , , , , , , ,2,0, , , ,1,28, ,3,4,1,3,3,1,1,1,0,2,2,1,1,2, , ,2, , ,1,1,2,0,3,2,3, ,2,1,0,0,0,30, ,0,1,0,0, ,1,2,3,1,1,2,2,1,1,1, ,1,1,1,2,1, ,2,AFCDEGB,2,2,2,2,2,2,1,1,2,1,1,ACBD,2,2,2,2,1,2,2,2,2,2,2, , ,1,EABCDGF,2,2,2,2,2,2,2,2,2,1,1, ,5,1,2,2,2,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2, ,5,2,2,1,DHGAEFCB,2,2,2,2,2,1,2,2,3,2,1,31
50000203,807,3.3405, , ,B, ,3,2, ,1,3,1,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,44, ,6,7,1,3,2,1,2,1,0,2,22,1,1,2, , ,2, , ,1,3,0,20,3,2,3, ,7,0,1,0,0, ,2,1,0,0,0,45, ,2,4,2,1,1,2,1,1,1, ,1,2,1,1,2, ,2,ACDGEFB,2,2,2,2,2,2,1,1,2,1,1,ACDB,2,1,1,2,1,2,2,2,2,2,2, , ,1,DFGECBA,1,2,2,2,2,2,2,4,2,1,1, ,2,2,3,2,2,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,2,2,3,2,CEHGBFDA,2,2,2,2,2,3,3,2,1,1, ,29.3
50000204,807,0.8259, , ,B, ,2,1, ,1,3,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,59, ,4,99,1,3,3,1,5,2,0,2,15,1,1,2, , ,1, , ,1,3,98,98,3,2,3, ,0,0,0,0,0, , ,1,0,0,0,20, ,1,2,2,4,1,1,1,1,1,1,1,3,1,8,2, ,1,AEGFDCB,1,2,2,2,2,2,1,1,2,1,2,CBAD,2,2,2,2,1,2,2,2,2,2,2, , ,1,AECFBGD,2,2,2,2,2,2,2,3,2,1,1, ,4,4,8,2,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,2,2,2,2,CGBDFHAE,2,2,2,3,3,3,3,2,3,2,9,99.9
50000205,807,4.1402, , ,A, ,2,1, ,1,3,4,4,2,1,1,0,0,2, , , , , , , , , , ,5,5, , , ,1,30, ,4,6,1,3,3,2,3,1,0,2,90,1,1,3, , ,1, , ,1,3,0,0,3,1,3, ,1,1,0,0,0,20, ,1,0,0,0,1, ,2,4,1,2,2,2,1,1,1, ,2,1,2,1,1, ,2,GEDBCFA,2,2,2,2,2,2,2,1,2,1,1,BDAC,2,2,2,2,1,2,2,2,2,2,2, , ,1,GCDFABE,2,2,2,2,2,2,2,4,2,1,1, ,3,4,3,4,4,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,3,1,3,1,FGCHAEDB,2,2,2,2,2,2,2,2,2,2,1,99.9
50000206,807,0.8921, , ,A, ,2,1, ,1,5,3,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,76, ,3,1,1,3,3,1,3,1,0,2,15,1,2, , , , , , ,1,4,4,0,1,1,1,1,0,0,0,0,0, , ,0,1,0,0, ,8,1,4,2,4,1,1,1,2,1,1,1,4,2,8,1, ,2,CAGDEBF,2,1,1,2,1,2,1,1,2,1,1,BDCA,2,2,2,2,1,2,1,1,2,2,2, , ,1,ABFGDCE,2,2,2,2,2,2,2,4,2,1,1, ,3,4,8,3,3,2, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, ,3,2,3,1,ADEGCHFB,2,2,2,1,3,2,8,2,3,1, ,35
50000209,807,0.6706, , ,D, ,5,2, ,2,3,2,3,3,2,1, , , , , , , , , , , , , , , , , , ,2,99,4,3,3,1,3,2,2,3,1,3,2,15,1,1,2, , ,2, , ,1,3,0,3,3,1,3, ,1,1,0,0,0,30, ,1,0,0,0,10, ,1,3,1,2,1,1,1,1,1,1,1,4,1,1,1, ,1,CGFABDE,1,1,2,1,2,2,1,1,2,1,2,ACBD,2,2,2,2,2,2,1,2,2,2,1, , ,3,DFEAGCB,1,1,2,1,2,2,2,3,2,2,1, ,2,1,3,1,1,1,1, , , , , , , , , , , , , , , , , , , ,1,2,1,2,AFEGDBCH,2,2,2,2,8,2,2,2,2,1, ,27.4
50000211,807,0.256, , ,C, ,5,1, ,2,3,1,3,3,1,2, , , , , , , , , , , , , , , , , , ,2,48, ,3,2,5,1,3,2,2,2,0,1,22,1,1,3, , ,1,2,43,3,2,0,0,3,2,3, ,0,0,0,0,0, , ,1,0,0,0,15, ,2,4,2,4,2,2,4,2,1,1,1,2,1,8,2, ,2,ADCBEFG,2,2,2,2,2,2,2,1,2,2, ,ACBD,2,2,2,2,2,2,2,1,2,2,2, , ,1,FBAGDEC,2,2,2,2,2,2,2,4,2,1,1, ,5,2,2,1,1,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4, ,3,1,3,2,DFBCGEHA,2,3,8,2,2,8,2,8,2,2,1,23.4
50000212,807,2.8749, , ,A, ,1,1, ,1,3,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,72, ,5,15,1,2,1,1,3,1,0,1,2,1,1,2, , ,1, , ,1,1,0,0,3,2,3, ,5,0,1,0,0, ,1,1,0,0,0,15, ,1,3,2,4,2,2,2,1,1,2,1,4,1,2,1, ,2,GDFBEAC,1,1,1,2,2,2,2,1,2,2, ,ACDB,2,2,2,2,1,2,1,2,1,2,2, , ,1,GBFECAD,2,2,2,2,2,2,2,4,2,1,1, ,5,3,3,2,2,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,1,3,2,FHDBGAEC,2,2,2,2,2,3,2,2,3,1, ,30.1
50000214,807,1.657, , ,B, ,3,2, ,1,3,1,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,55, ,3,8,1,4,1,1,2,1,0,2,2,1,1,2, , ,2, , ,1,1,0,3,3,1,3, ,4,0,1,0,0, ,2,1,0,0,0,30, ,2,3,2,4,2,2,1,1,1,2,1,3,1,2,2, ,2,CFEABGD,2,2,2,2,2,2,2,1,2,1,2,ADBC,2,2,2,2,2,1,2,2,2,2,2, , ,1,EFCDBAG,2,2,2,2,2,2,2,3,2,2,1, ,2,1,3,2,2,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,1,3,1,EADHBFGC,8,2,2,2,2,8,2,8,2,1, ,24
50000216,808,0.3192, , ,B, ,1,4, ,2,1,6,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,30, ,2,3,5,3,3,2,5,1,0,2,90,1,1,2, , ,1,1, ,3,2,0,0,3,1,3, ,3,1,0,0,0,30, ,1,0,0,0,2, ,2,2,1,1,2,2,1,2,1, ,1,1,1,1,2, ,2,FCBAEDG,2,2,1,2,2,2,2,1,2,1,1,CBAD,2,2,2,2,2,2,2,1,2,2,2, , ,3,GBEAFDC,1,1,1,1,1,1,1,3,2,1,1, ,1,3,4,1,1,1,2, , , , , , , , , , , , , , , , , , , ,1,1,1,1,DCEFAHGB,1,1,1,1,1,1,1,1,3,1, ,28.3
50000217,807,4.4467, , ,B, ,1,1, ,1,3,1,3,2,1,1,0,0,1, , , , , , , , , , ,0, , , , ,1,31, ,4,6,1,2,3,2,2,1,0,1,90,1,1,2, , ,1, , ,1,2,0,0,3,1,3, ,4,0,1,0,0, ,6,1,0,0,0,10, ,2,2,2,2,1,2,2,2,1, ,2,1,2,2,1, ,2,CEFGDAB,2,2,2,2,2,2,2,1,2,1,1,ACDB,2,2,2,2,1,2,2,2,2,2,2, , ,1,FCBGEDA,2,2,2,2,2,2,2,4,2,1,1, ,3,1,3,1,1,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2, ,1,2,3,2,EGDABHCF,2,2,2,2,2,3,3,2,2,1, ,30.8
50000218,807,1.6471, , ,C, ,1,1, ,1,6,1,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,61, ,4,6,1,4,3,1,4,1,0,2,2,1,1,2, , ,2, , ,1,4,30,8,2,1,3, ,0,0,0,0,0, , ,0,1,0,0, ,1,1,5,1,4,2,2,1,1,1,2,1,3,2,2,2, ,2,DAGCEBF,2,2,2,1,2,1,2,1,2,1,1,DACB,2,2,2,2,2,1,2,2,2,2,2, , ,1,BAECFGD,2,2,2,2,2,2,2,3,2,3,1, ,4,2,4,1,1,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,2,1,3,2,EHFBGACD,2,2,3,2,3,3,3,3,3,2,1,20.8
50000218,808,0.4125, , ,A, ,3,4, ,2,3,4,6,2,1,1,1,1,2,12, , , , ,8, , , , ,4,0, , , ,1,35, ,3,3,3,4,2,1,3,1,0,2,22,3,2, , , , ,3,17,3,3,4,6,2,2,3, ,1,1,0,0,0,40, ,1,0,0,0,7, ,2,2,2,3,1,2,1,2,1, ,1,1,2,1,2, ,2,BAFDGEC,2,1,2,1,2,2,2,1,2,1,2,ACBD,2,2,2,1,1,2,2,1,2,2,2, , ,1,AFEDGBC,2,1,2,2,2,1,2,1,2,1,1, ,3,3,3,2,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,3,1,1,1,FDECHGBA,2,2,2,2,2,2,2,2,3,2,1,22.5
50000219,807,0.7827, , ,B, ,1,3, ,1,1,1,3,3,2,1, , , , , , , , , , , , , , , , , , ,2,58, ,5,15,1,2,1,2,2,1,1,1,2,1,1,1, , ,2, , ,1,1,0,0,3,2,3, ,0,0,0,0,0, , ,1,0,0,0,15, ,2,2,2,1,2,2,1,1,1,1,1,3,1,1,1, ,1,GBCFEAD,1,2,2,2,2,2,1,2, ,1,1,DABC,2,2,2,2,1,2,2,2,2,2,2, , ,1,FBACGDE,2,2,2,2,2,2,2,4,2,1,1, ,5,3,1,2,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,1,3,2,EGHAFBDC,2,2,2,2,2,3,3,2,2,1, ,24.4
50000220,807,0.1918, , ,C, ,5,3, ,1,3,4,5,3,2,1,2,0,0,17,14, , , , , , , , , , , , , ,1,60, ,3,5,2,4,2,1,4,1,2,2,25,1,1,2, , ,1, , ,2,3,1,0,1,2,3, ,3,0,1,0,0, ,1,0,1,0,0, ,1,2,1,2,4,1,2,1,1,1,1,1,3,1,2,1, ,2,CGFBEAD,1,2,2,2,2,2,2,1,1,1,1,BDCA,2,2,2,2,1,2,2,2,2,2,2, , ,1,AEDBFCG,2,2,2,2,2,2,2,2,2,1,1, ,1,1,4,1,3,2, ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2, ,2,1,3,2,FGECHDBA,2,2,2,2,2,1,2,2,3,1, ,23.4
50000222,807,1.7565, , ,B, ,1,3, ,1,3,3,6,4,2,2,1,1,0,14, , , , ,10, , , , , , , , , ,2,53, ,3,6,1,4,3,2,3,1,3,2,14,1,1,2, , ,1, , ,1,1,0,0,3,2,3, ,7,1,1,0,0,1,5,1,0,0,0,30, ,2,6,2,2,1,2,1,1,1,2,1,2,1,2,2, ,2,FEDCABG,2,2,1,2,2,2,2,1,2,1,2,CDAB,2,2,2,2,1,2,2,2,2,2,2, , ,1,CDEAFGB,2,2,2,2,2,2,2,3,2,1,1, ,2,2,4,3,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,2,2,1,1,DFEBGCHA,2,2,1,1,1,1,2,1,3,2,1,23
50000223,808,0.1738, , ,B, ,2,4, ,2,5,3,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,78, ,2,1,3,3,1,2,2,2,0,2,15,3,2, , , , ,3,25,3,1,0,0,1,2,3, ,4,1,0,0,0,45, ,1,0,0,0,30, ,1,1,2,4,2,1,3,2,1,1,1,4,1,2,2, ,2,EGADFBC,2,2,2,2,2,2,2,1,3,2, ,CDBA,2,2,2,2,2,2,1,1,2,2,2, , ,1,DFBEAGC,2,2,2,2,2,2,2,4,2,1,1, ,3,3,4,1,1,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,3,1,3,2,BCEFHGDA,2,2,2,2,2,2,2,2,3,1, ,26.6
50000224,807,0.6706, , ,A, ,1,2, ,1,3,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,99,4,1,1,1,1,2,2,1,1,1,1,2,1,2, , , , , , ,1,4,0,1,3,2,3, ,5,0,1,0,0, ,1,0,0,1,0, , ,2,3,2,1,2,1,1,1,1,1,2,4,1,2,1, ,1,DBGCEAF,2,1,2,1,2,2,2,1,2,1,2,CBDA,2,1,1,1,2,1,1,2,2,2,2, , ,1,CFGEDBA,2,2,2,2,1,2,2,3,2,1,1, ,5,1,3,1,1,1,1, , , , , , , , , , , , , , , , , , , ,5,1,2,1,BGCHEADF,2,2,2,2,2,2,2,2,2,2,1,27.9
50000224,808,0.5391, , ,A, ,2,4, ,1,3,4,6,3,1,2,2,1,0,16,14, , , ,7, , , , , , , , , ,1,30, ,2,6,3,4,3,2,4,1,0,2,2,1,2, , , , ,1, ,3,3,0,15,3,2,3, ,0,0,0,0,0, , ,1,0,0,0,30, ,1,2,2,1,2,1,1,1,1, ,1,1,1,1,1, ,2,DCEGFAB,1,2,2,1,2,2,2,1,1,2, ,ACDB,2,2,2,2,2,2,2,2,2,2,2,1, , ,GFBEDAC,2,2,2,2,2,2,2,3,2,1,1, ,2,1,1,1,2,1,2, , , , , , , , , , , , , , , , , , , ,2,2,1,1,BFHCEDGA,2,1,2,2,2,2,2,1,3,1, ,27.8
50000225,807,0.3781, , ,B, ,1,2, ,2,2,4,3,2,1,1,0,0,1, , , , , , , , , , ,2, , , , ,2,26, ,1,98,3,4,3,1,2,2,0,2,22,3,2, , , , ,3,15,3,4,0,3,3,2,3, ,7,1,0,0,0,3, ,1,0,0,0,6, ,2,98,1,4,2,2,2,1,1, ,1,1,2,2,1,2,2,GFEACDB,2,2,2,2,2,2,2,1,1,2, ,CABD,2,2,2,2,2,2,2,2,2,2,2,1, , ,DBAGEFC,2,2,2,2,2,2,2,2,2,1,1, ,8,3,3,3,2,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,98,2,2,8,2,BGHEFACD,2,8,2,2,1,2,2,2,8,1, ,99.9
50000225,808,0.2466, , ,A, ,2,4, ,2,5,3,4,4,2,2, , , , , , , , , , , , , , , , , , ,2,53, ,3,2,2,3,2,1,2,1,2,2,22,1,1,3, , ,1, , ,2,4,10,20,2,2,3, ,2,0,1,0,0, ,1,0,0,1,0, , ,1,2,1,4,1,1,1,2,1,1,1,2,1,1,2, ,1,DGBCAEF,2,2,1,1,1,2,1,1,2,1,3,ADCB,2,2,2,2,2,2,1,1,2,2,2, , ,1,EGFADCB,1,2,2,1,2,2,2,3,2,1,1, ,1,2,4,2,3,1,1, , , , , , , , , , , , , , , , , , , ,4,1,1,2,AHEBFGCD,2,1,2,3,2,2,2,2,2,1, ,22.9
50000226,808,0.2688, , ,A, ,1,4, ,2,5,6,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,90, ,2,3,2,3,3,1,5,1,0,2,25,1,1,2, , ,1, , ,2,5,10,99,1,2,3, ,4,1,0,0,0,30, ,1,0,0,0,20, ,2,4,2,4,2,2,2,1,1,2,1,4,2,2,2, ,2,DAECBGF,2,2,1,2,2,2,9,9, ,2, ,BDCA,1,1,1,2,2,2,2,2,2,1,2, ,1,2,GEABDCF,2,1,2,1,2,2,2,2,2,4,2,2,4,4,9,3,3,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,2,3,2,HBGECAFD,1,1,1,1,1,1,2,1,3,2,1,24.1
50000229,807,0.2096, , ,D, ,5,3, ,1,5,3,3,3,2,1, , , , , , , , , , , , , , , , , , ,2,91, ,2,1,2,4,2,2,2,1,0,2,13,1,1,2, , ,1, , ,2,3,3,5,2,2,3, ,2,1,0,0,0,30, ,0,1,0,0, ,2,1,3,2,1,2,2,1,2,1,1,1,4,1,1,1, ,2,GCEBADF,1,2,2,2,2,2,2,1,1,1,2,ADBC,2,2,2,2,2,2,1,1,1,2,2, , ,1,CBAGDEF,2,2,2,2,2,2,2,4,2,1,1, ,2,3,4,4,3,2, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,1,3,2,GFBHADCE,2,2,1,2,3,2,2,2,3,1, ,20.9
50000230,807,1.1515, , ,C, ,1,2, ,1,5,2,1,1,1,0, , , , , , , , , , , , , , , , , , ,2,87, ,1,4,1,1,2,1,2,1,0,1,2,1,2, , , , , , ,1,2,0,0,3,1,3, ,5,1,0,0,0,30, ,1,0,0,0,15, ,1,2,2,4,1,2,1,2,1,1,1,4,2,2,1, ,2,BDAFECG,1,1,2,2,1,1,2,1,1,1,1,DACB,2,2,2,2,2,1,1,2,2,2,2, , ,1,EBADGFC,2,2,2,2,2,2,2,4,2,1,1, ,8,3,4,3,4,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2, ,1,2,3,2,DGAHFECB,2,2,2,2,2,2,2,2,2,1, ,25.2
50000230,808,4.1999, , ,A, ,3,1, ,2,3,3,3,3,1,2, , , , , , , , , , , , , , , , , , ,2,71, ,2,12,1,1,1,2,8,1,0,1,2,1,1,1, , ,1, , ,1,4,0,0,3,2,3, ,0,0,0,0,0, , ,1,0,0,0,30, ,1,2,2,1,1,1,1,2,1,1,1,4,2,2,2, ,2,AGCFEDB,1,1,2,2,2,2,1,1,2,1,1,ADBC,2,2,2,2,8,2,1,2,1,2,2, , ,1,BAGCEFD,2,2,2,2,2,2,2,4,2,1,1, ,5,3,8,1,1,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,5,1,3,1,BHDFAECG,2,2,2,8,2,3,8,2,1,2,9,28.1
