"","FM_STRCP","FM_TYPE","FM_STRP","TELN_FLG","CURWRKN","TELCELN","FLNGINTV","F10DVYN","FDMEDYN","FHCDVYN","FHCHMYN","FHCPHRYN","FHOSP2YN","FNMEDYN","FSRUNOUT","FSLAST","FSBALANC","FLAADLYN","FLIADLYN","FWKLIMYN","FWALKYN","FREMEMYN","FANYLYN","HOUSEOWN","FSNAP","INCGRP4","INCGRP5","FSALYN","FSEINCYN","FSSRRYN","FPENSYN","FOPENSYN","FSSIYN","FTANFYN","FOWBENYN","FINTR1YN","FDIVDYN","FCHSPYN","FINCOTYN","FSSAPLYN","FSDAPLYN","FMEDBILL","FMEDBPAY","FSAF","FHICOVYN"
"37",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"39",21,2,21,1,2,2,1,2,2,1,2,2,1,2,1,2,3,1,2,1,2,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
"40",11,1,11,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
"43",44,4,44,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
"44",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1
"45",11,1,11,1,2,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1
"46",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"47",11,1,11,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"48",31,3,31,1,2,1,1,1,2,1,2,2,1,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1
"49",11,1,11,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"50",11,1,11,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"53",23,2,23,1,2,1,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"55",45,4,45,1,2,1,1,2,2,1,2,1,2,1,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1
"56",23,2,23,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"57",22,2,22,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1
"58",12,1,12,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"59",23,2,23,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1
"60",11,1,11,1,2,1,1,1,1,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"61",11,1,11,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1
"62",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1
"63",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"65",41,4,42,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"66",11,1,11,1,1,1,1,2,2,1,2,2,2,2,2,3,3,2,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1
"67",11,1,11,1,2,1,1,1,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"68",21,2,21,1,1,1,1,1,2,1,2,2,2,2,3,3,3,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1
"69",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
"70",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"72",22,2,22,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"75",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1
