"","FM_STRCP","FM_TYPE","FM_STRP","TELN_FLG","CURWRKN","TELCELN","FLNGINTV","F10DVYN","FDMEDYN","FHCDVYN","FHCHMYN","FHCPHRYN","FHOSP2YN","FNMEDYN","FSRUNOUT","FSLAST","FSBALANC","FLAADLYN","FLIADLYN","FWKLIMYN","FWALKYN","FREMEMYN","FANYLYN","HOUSEOWN","FSNAP","INCGRP4","INCGRP5","FSALYN","FSEINCYN","FSSRRYN","FPENSYN","FOPENSYN","FSSIYN","FTANFYN","FOWBENYN","FINTR1YN","FDIVDYN","FCHSPYN","FINCOTYN","FSSAPLYN","FSDAPLYN","FMEDBILL","FMEDBPAY","FSAF","FHICOVYN"
"10450",11,1,11,1,2,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10451",23,2,23,1,2,1,1,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10453",22,2,22,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1
"10457",11,1,11,1,2,1,1,1,1,1,2,2,1,1,3,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,1
"10458",11,1,11,1,1,2,1,2,2,2,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10459",11,1,11,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10460",21,2,21,1,1,2,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"10461",11,1,11,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10462",23,2,23,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10463",11,1,11,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1
"10464",21,2,21,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1
"10465",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"10467",41,4,41,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10468",41,4,41,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10469",11,1,11,1,2,1,1,1,1,1,2,2,2,1,3,3,3,2,2,1,2,2,1,3,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1
"10470",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
"10472",22,2,22,1,2,1,1,2,2,2,2,2,2,2,3,3,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1
"10473",11,1,11,1,2,1,1,2,1,1,2,2,2,2,3,3,3,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
"10475",21,2,21,1,1,1,1,1,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1
"10476",41,4,42,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10480",11,1,11,1,2,1,1,1,2,2,2,2,1,2,3,3,3,2,2,2,2,1,1,2,2,4,3,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1
"10481",31,3,31,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
"10482",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10483",21,2,21,1,2,1,1,2,2,2,2,2,1,2,3,2,1,2,2,1,1,1,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10484",21,2,21,1,1,1,1,1,2,1,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1
"10485",44,4,44,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10486",11,1,11,1,1,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10487",41,4,41,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10488",41,4,42,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10489",21,2,21,1,1,1,1,1,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1
"10490",41,4,41,1,2,1,1,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"10491",23,2,23,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10492",21,2,21,1,2,2,1,2,2,1,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1
"10494",21,2,21,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1
"10495",11,1,11,1,1,1,1,1,2,1,2,1,1,2,3,3,3,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1
"10496",41,4,41,1,2,1,1,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,4,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1
"10497",11,1,11,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10498",41,4,41,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"10499",22,2,22,1,2,2,1,1,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"10500",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10501",21,2,21,1,2,1,1,1,2,2,2,2,1,2,3,3,3,2,2,1,2,1,1,1,2,3,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1
"10502",11,1,11,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"10503",21,2,21,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"10505",41,4,41,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
"10506",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10507",11,1,11,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2
"10508",21,2,21,1,1,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1
"10510",22,2,22,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
"10511",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,4,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1
"10512",11,1,11,1,1,1,1,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10513",44,4,44,1,1,2,3,2,2,2,2,2,2,2,3,3,3,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
"10514",44,4,44,1,1,1,1,1,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10515",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,3,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1
"10517",21,2,21,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,5,4,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10518",11,1,11,1,2,1,1,1,2,2,1,2,2,2,3,3,3,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"10520",21,2,21,1,1,1,1,1,1,1,2,1,2,1,2,2,3,1,1,1,1,2,1,1,2,3,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1
"10521",11,1,11,1,2,1,1,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10522",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10524",23,2,23,1,1,1,1,1,2,1,2,2,1,2,3,3,3,2,1,2,1,1,1,1,2,5,4,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1
"10525",23,2,23,1,1,1,1,2,1,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"10526",12,1,12,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"10527",23,2,23,1,1,1,1,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1
"10528",11,1,11,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1
"10529",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1
"10530",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10531",44,4,44,1,1,1,1,1,2,1,2,2,1,2,3,3,3,2,2,1,2,2,1,1,2,5,4,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1
"10532",41,4,41,1,1,1,1,2,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10533",23,2,23,1,2,1,1,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10535",21,2,21,1,1,1,1,2,2,2,1,2,1,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"10536",21,2,21,1,1,1,4,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"10537",41,4,41,1,1,1,1,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,1,1,2,5,4,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1
"10538",22,2,22,1,2,2,1,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,5,4,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1
"10540",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2
"10542",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"10543",41,4,41,1,1,1,1,1,2,1,1,1,2,1,3,3,3,1,2,2,2,1,1,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10544",44,4,44,1,2,1,1,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10545",23,2,23,1,2,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10546",44,4,44,1,2,1,1,1,1,1,1,2,1,1,3,3,3,2,1,1,2,1,1,3,1,3,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1
"10547",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10548",21,2,21,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1
"10549",31,3,31,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1
"10550",21,2,21,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10552",11,1,11,1,1,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1
"10553",11,1,11,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10554",41,4,41,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,5,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1
"10555",21,2,21,1,1,1,1,2,2,1,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,5,4,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1
"10556",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10557",42,4,43,1,2,1,1,1,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1
"10558",23,2,23,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"10559",12,1,12,1,2,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1
"10560",12,1,12,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"10562",21,2,21,1,2,1,1,1,1,1,2,1,2,1,3,3,3,2,2,1,2,2,1,1,2,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10564",23,2,23,1,1,1,1,1,2,1,2,1,1,2,3,3,3,2,2,1,1,2,1,1,1,3,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1
"10565",21,2,21,1,1,1,1,1,2,1,2,2,2,2,3,3,3,2,2,2,2,2,1,1,2,5,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10566",45,4,45,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
"10568",21,2,21,1,1,1,1,1,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10569",41,4,41,1,2,1,1,2,2,1,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10570",41,4,41,1,2,1,3,2,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10571",23,2,23,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"10572",44,4,44,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10574",11,1,11,1,2,1,1,1,2,1,1,2,2,2,3,3,3,1,1,1,1,2,1,1,2,3,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1
"10575",23,2,23,1,2,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10577",21,2,21,1,2,1,1,1,2,2,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"10578",31,3,31,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1
"10579",23,2,23,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10580",11,1,11,1,1,1,1,1,2,1,2,2,2,2,3,3,3,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10581",22,2,22,1,2,1,1,2,1,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1
"10582",31,3,31,1,2,1,1,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1
"10583",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10585",21,2,21,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10588",21,2,21,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"10589",21,2,21,1,1,1,1,1,2,1,2,1,1,2,3,3,3,2,2,2,2,2,2,1,2,5,4,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"10591",44,4,44,1,2,1,1,2,2,1,2,2,1,2,3,3,3,2,2,2,2,2,2,1,1,4,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"10592",41,4,41,1,1,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"10593",21,2,21,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
"10594",44,4,44,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1
"10597",43,4,42,1,2,1,1,2,1,2,2,2,2,1,3,3,3,2,2,1,2,2,1,1,2,3,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"10598",11,1,11,1,2,1,1,1,2,2,2,2,2,1,3,3,2,2,2,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1
"10599",44,4,44,1,2,1,1,1,1,2,2,1,1,1,1,2,3,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1
"10600",31,3,31,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2
"10601",41,4,41,1,2,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"10602",23,2,23,1,1,1,1,1,2,1,2,2,1,2,3,3,3,2,2,1,1,1,1,1,2,3,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1
"10603",31,3,31,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10604",32,3,32,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10605",42,4,43,1,1,1,1,2,2,2,2,2,2,1,2,3,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1
"10606",23,2,23,1,1,2,1,1,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,1,2,3,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1
"10607",11,1,11,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1
"10608",31,3,31,1,1,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
"10609",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10610",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1
"10611",23,2,23,1,1,1,1,1,2,1,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,5,4,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1
"10612",43,4,42,1,2,1,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"10613",21,2,21,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1
"10615",23,2,23,1,1,1,1,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10616",41,4,41,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"10617",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"10618",21,2,21,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"10621",42,4,43,1,1,1,1,2,1,1,2,2,2,1,3,3,3,2,2,2,2,2,1,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1
"10622",11,1,11,1,1,1,1,1,1,2,2,1,1,2,3,3,3,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,1
"10623",41,4,41,1,2,1,1,2,2,1,2,2,2,1,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
"10624",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,1,2,2,1,1,2,4,3,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1
"10625",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"10626",23,2,23,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1
"10628",31,3,31,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1
"10629",41,4,41,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
